Rk,,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Ottawa Senators*,26.3,82,52,21,8,1,113,.689,263,182,0.88,-0.11,3.21,2.22,83,391,21.23,50,332,84.94,4,8,13.6,16.5,2441,10.8,2033,.910,8
2,Dallas Stars*,30.0,82,46,17,15,4,111,.677,245,169,0.94,0.01,2.99,2.06,62,327,18.96,50,346,85.55,9,6,13.9,14.0,2466,9.9,2073,.918,11
3,Detroit Red Wings*,31.4,82,48,20,10,4,110,.671,269,203,0.85,0.05,3.28,2.48,76,319,23.82,55,377,85.41,11,4,14.5,13.6,2441,11.0,2361,.914,5
4,New Jersey Devils*,29.3,82,46,20,10,6,108,.659,216,166,0.49,-0.12,2.63,2.02,36,303,11.88,32,264,87.88,7,4,11.3,11.2,2601,8.3,1933,.914,10
5,Philadelphia Flyers*,29.1,82,45,20,13,4,107,.652,211,166,0.43,-0.12,2.57,2.02,47,328,14.33,50,338,85.21,8,8,11.9,11.9,2537,8.3,2019,.918,8
6,Colorado Avalanche*,28.7,82,42,19,13,8,105,.640,251,194,0.75,0.06,3.06,2.37,68,363,18.73,63,359,82.45,5,6,13.0,13.2,2386,10.5,2322,.916,6
7,Vancouver Canucks*,26.9,82,45,23,13,1,104,.634,264,208,0.74,0.05,3.22,2.54,87,419,20.76,62,389,84.06,12,10,14.0,15.0,2388,11.1,2185,.905,4
8,St. Louis Blues*,29.6,82,41,24,11,6,99,.604,253,222,0.43,0.05,3.09,2.71,80,391,20.46,71,389,81.75,11,7,19.6,17.9,2301,11.0,2047,.892,8
9,Toronto Maple Leafs*,30.4,82,44,28,7,3,98,.598,236,208,0.26,-0.08,2.88,2.54,63,359,17.55,56,426,86.85,11,7,16.7,13.7,2152,11.0,2423,.914,7
10,Mighty Ducks of Anaheim*,27.7,82,40,27,9,6,95,.579,203,193,0.19,0.07,2.48,2.35,56,348,16.09,42,333,87.39,8,5,11.4,11.9,2246,9.0,2377,.919,9
11,Minnesota Wild*,28.0,82,42,29,10,1,95,.579,198,178,0.32,0.08,2.41,2.17,52,366,14.21,43,308,86.04,9,5,12.6,13.9,2086,9.5,2335,.924,6
12,Tampa Bay Lightning*,26.8,82,36,25,16,5,93,.567,219,210,-0.01,-0.12,2.67,2.56,70,391,17.90,55,316,82.59,6,5,12.8,14.3,2395,9.1,2298,.909,6
13,Washington Capitals*,29.1,82,39,29,8,6,92,.561,224,220,-0.06,-0.11,2.73,2.68,57,331,17.22,72,384,81.25,8,4,15.2,13.5,2223,10.1,2454,.910,4
14,Edmonton Oilers*,26.6,82,36,26,11,9,92,.561,231,230,0.12,0.11,2.82,2.80,56,386,14.51,61,351,82.62,13,8,14.5,15.0,2292,10.1,2248,.898,7
15,Boston Bruins*,27.9,82,36,31,11,4,87,.530,245,237,0.02,-0.08,2.99,2.89,59,325,18.15,65,375,82.67,10,11,16.4,15.0,2636,9.3,2322,.898,2
16,New York Islanders*,27.7,82,35,34,11,2,83,.506,224,231,-0.16,-0.07,2.73,2.82,58,384,15.10,67,405,83.46,12,5,14.9,14.6,2427,9.2,2318,.900,3
17,Los Angeles Kings,28.4,82,33,36,6,7,79,.482,203,221,-0.13,0.09,2.48,2.70,52,354,14.69,62,371,83.29,8,4,13.4,13.3,2272,8.9,2141,.897,7
18,Chicago Blackhawks,29.6,82,30,33,13,6,79,.482,207,226,-0.14,0.09,2.52,2.76,39,308,12.66,56,369,84.82,8,8,14.1,12.2,2279,9.1,2345,.904,9
19,New York Rangers,29.4,82,32,36,10,4,78,.476,210,231,-0.33,-0.08,2.56,2.82,55,339,16.22,73,388,81.19,8,8,15.8,14.2,2465,8.5,2426,.905,6
20,Phoenix Coyotes,27.5,82,31,35,11,5,78,.476,204,230,-0.23,0.08,2.49,2.80,55,385,14.29,77,412,81.31,4,11,17.2,16.9,2297,8.9,2458,.906,3
21,Montreal Canadiens,28.9,82,30,35,8,9,77,.470,206,234,-0.39,-0.05,2.51,2.85,44,315,13.97,58,317,81.70,2,6,10.7,11.0,2119,9.7,2678,.913,4
22,Calgary Flames,27.4,82,29,36,13,4,75,.457,186,228,-0.37,0.14,2.27,2.78,47,389,12.08,65,389,83.29,5,10,16.7,16.5,2341,7.9,2222,.897,4
23,Nashville Predators,27.1,82,27,35,13,7,74,.451,183,206,-0.17,0.11,2.23,2.51,58,418,13.88,61,353,82.72,2,8,11.7,13.3,2316,7.9,2252,.909,3
24,Atlanta Thrashers,27.1,82,31,39,7,5,74,.451,226,284,-0.78,-0.07,2.76,3.46,64,371,17.25,65,355,81.69,8,14,15.0,15.8,2163,10.4,2593,.890,2
25,San Jose Sharks,27.5,82,28,37,9,8,73,.445,214,239,-0.21,0.10,2.61,2.91,68,375,18.13,68,358,81.01,5,10,13.2,14.3,2303,9.3,2392,.900,5
26,Buffalo Sabres,25.9,82,27,37,10,8,72,.439,190,219,-0.40,-0.05,2.32,2.67,51,354,14.41,53,363,85.40,8,11,15.2,14.7,2345,8.1,2296,.905,6
27,Florida Panthers,25.1,82,24,36,13,9,70,.427,176,237,-0.78,-0.03,2.15,2.89,49,347,14.12,66,356,81.46,7,9,13.6,14.4,2229,7.9,2724,.913,7
28,Columbus Blue Jackets,27.7,82,29,42,8,3,69,.421,213,263,-0.51,0.11,2.60,3.21,71,410,17.32,60,409,85.33,12,9,18.0,18.9,2143,9.9,2641,.900,5
29,Pittsburgh Penguins,27.8,82,27,44,6,5,65,.396,189,255,-0.85,-0.04,2.30,3.11,66,360,18.33,58,352,83.52,3,10,13.3,11.8,2079,9.1,2535,.899,4
30,Carolina Hurricanes,28.5,82,22,43,11,6,61,.372,171,240,-0.90,-0.06,2.09,2.93,58,420,13.81,71,392,81.89,6,9,14.5,16.1,2414,7.1,2332,.897,5
